@relation 351565053244395_set0_1_highlevelenv10m-weka.filters.unsupervised.attribute.Remove-R1-6

@attribute nmean numeric
@attribute nmode numeric
@attribute nmedian numeric
@attribute nstddev numeric
@attribute nmin numeric
@attribute nmax numeric
@attribute nrange numeric
@attribute lmean numeric
@attribute lmode numeric
@attribute lmedian numeric
@attribute lstddev numeric
@attribute lmin numeric
@attribute lmax numeric
@attribute lrange numeric
@attribute mf1mean numeric
@attribute mf1mode numeric
@attribute mf1median numeric
@attribute mf1stddev numeric
@attribute mf1min numeric
@attribute mf1max numeric
@attribute mf1range numeric
@attribute mf2mean numeric
@attribute mf2mode numeric
@attribute mf2median numeric
@attribute mf2stddev numeric
@attribute mf2min numeric
@attribute mf2max numeric
@attribute mf2range numeric
@attribute mf3mean numeric
@attribute mf3mode numeric
@attribute mf3median numeric
@attribute mf3stddev numeric
@attribute mf3min numeric
@attribute mf3max numeric
@attribute mf3range numeric
@attribute location{Location1,Location2,UnclassifiedLocations,UncommonLocation10,UncommonLocation11,UncommonLocation3,UncommonLocation5,UncommonLocation6,UncommonLocation7,UncommonLocation8,UncommonLocation9}

@data
42.076074,42.076074,42.076074,0,42.076074,42.076074,0,4.038013,4,4,0.051268,4,4.143179,0.143179,-26.020003,-28.600006,-26.100007,2.682713,-29,-23,6,-18.850001,-21.800003,-18.900002,2.861557,-21.90001,-15.600006,6.300004,-33.779999,-34.199997,-33.800003,0.490172,-34.600006,-32.699997,1.900009,Location1
42.075525,42.076074,42.076074,0.006117,42.007411,42.076074,0.068664,4,4,4,0,4,4,0,7.656654,7.299988,7.599991,0.418473,6.799988,8.199982,1.399994,2.623336,2.699997,2.600006,0.310572,2.199997,3.800003,1.600006,-40.956658,-41.299988,-40.849991,0.55838,-42.09999,-40.09999,2,Location1
42.038643,42.076074,42.076074,0.05043,41.9382,42.076074,0.137874,4.02364,4,4,0.031766,4,4.094892,0.094892,8.339985,8.299988,8.299988,0.270307,7.899994,8.799988,0.899994,2.253337,2.400009,2.300003,0.221711,1.900009,2.600006,0.699997,-39.633329,-39.399994,-39.5,0.391861,-40.5,-38.90001,1.59999,Location1
42.067011,42.076074,42.076074,0.023242,42.007411,42.076074,0.068664,4.018923,4,4,0.031422,4,4.094892,0.094892,8.533319,8.499985,8.499985,0.337968,7.899994,9.099991,1.199997,2.080002,2.199997,2.100006,0.211975,1.699997,2.600006,0.900009,-38.603337,-38.90001,-38.600006,0.343009,-39.199997,-38,1.199997,Location1
42.060065,42.076074,42.076074,0.047185,41.727197,42.076074,0.348878,4.018923,4,4,0.031422,4,4.094892,0.094892,8.869989,8.799988,8.799988,0.25186,8.499985,9.399994,0.900009,1.973337,2,2,0.109341,1.800003,2.199997,0.399994,-38.533339,-38.600006,-38.600006,0.364536,-39.299988,-37.90001,1.399978,Location1
42.076074,42.076074,42.076074,0,42.076074,42.076074,0,4.009434,4,4,0.018867,4,4.047168,0.047168,8.929989,9.099991,8.899987,0.30348,8.499985,9.799988,1.300003,1.773335,1.699997,1.800003,0.17114,1.400009,2,0.599991,-38.360005,-39.199997,-38.250007,0.577693,-39.799988,-37.40001,2.399978,Location1
46.133304,42.076074,42.076074,4.728967,42.076074,51.663975,9.587901,4.009434,4,4,0.018867,4,4.047168,0.047168,8.826654,8.999985,8.799988,0.270719,8.299988,9.299988,1,1.886669,2,1.900009,0.201221,1.5,2.400009,0.900009,-38.086674,-37.90001,-38.100006,0.338363,-38.90001,-37.300003,1.600007,Location1
46.740638,42.076074,42.076074,4.774465,41.43764,51.663975,10.226335,4.018923,4,4,0.031422,4,4.094892,0.094892,8.903322,8.799988,8.799988,0.275057,8.499985,9.399994,0.900009,1.846671,1.900009,1.900009,0.17651,1.5,2.199997,0.699997,-38.223342,-38.200012,-38.200012,0.373882,-39,-37.40001,1.59999,Location1
42.059549,42.076074,42.076074,0.040861,41.868434,42.076074,0.207641,4.009434,4,4,0.018867,4,4.047168,0.047168,8.789988,8.599991,8.799988,0.295917,8.199982,9.599991,1.400009,1.80667,1.800003,1.800003,0.178763,1.5,2.100006,0.600006,-37.893341,-38.100006,-37.90001,0.370524,-38.800003,-37.100006,1.699997,Location1
42.046825,42.076074,42.076074,0.059371,41.868434,42.076074,0.207641,4.009434,4,4,0.018867,4,4.047168,0.047168,9.019989,8.799988,9.099991,0.254821,8.499985,9.399994,0.900009,1.65667,1.5,1.600006,0.176415,1.400009,2.100006,0.699997,-38.386673,-38.700012,-38.450005,0.50907,-39.399994,-37.300003,2.099991,Location1
